model,oos_r2,mse,mae,dir_acc,ann_sharpe,sharpe_p,ppt_bps,hit_ratio
AR,-0.01136637909929239,0.0012971701462393206,0.02270264247204192,0.5083774834437086,1.0144361850206227,0.28692974433047125,3.1754289510348275,0.5083774834437086
SparseVAR-LASSO,-0.4110267544590531,0.001809771235483741,0.02712506538838517,0.5016225165562914,0.4007355476416417,0.6587141464698165,1.4093982155599571,0.5016225165562914
NIRVAR,-0.19007243055628686,0.0015263770485972668,0.02504071986201595,0.5023509933774835,0.7932993268148982,0.3743037917361782,2.524563486017575,0.5023509933774835
GraphVAR-news-hard,-0.029662305972806946,0.0013206363506026069,0.022902243562658266,0.5068543046357616,1.2513179051331604,0.1790361855022562,3.4147445747102485,0.5068543046357616
GraphVAR-news-soft,-0.14628192470593948,0.0014702117082698797,0.02421590254044542,0.5068211920529802,1.1487452130556,0.2187136474149156,3.7788045279962654,0.5068211920529802
GraphVAR-sector-hard,-0.020004696776735553,0.0013082495809886641,0.022864556092194663,0.5059933774834438,0.8043433382578891,0.3829456959982347,2.153635357908696,0.5059933774834438
GraphVAR-sector-soft,-0.14029091095709179,0.0014625276836262727,0.02420535863611838,0.5050331125827815,0.7571300480236567,0.4134915094471059,2.544667660110844,0.5050331125827815
CorrGraphVAR-hard,-0.027523605380296967,0.0013178932709257652,0.022907066751438054,0.5077814569536424,1.0389561610825642,0.2598019426380096,3.018030387747041,0.5077814569536424
