model,oos_r2,mse,mae,dir_acc,ann_sharpe,sharpe_p,ppt_bps,hit_ratio
AR,-0.0001064006204023471,0.0002706201367428555,0.0100611670815913,0.5065937707090788,1.4475345430033641,0.0005555074834024953,2.1330048306104836,0.5065937707090788
SparseVAR-LASSO,-0.004150497621045135,0.000271714434392222,0.010074065822083679,0.5047514910536779,1.3663424806940403,0.0011272592288804617,2.155949724990681,0.5047514910536779
NIRVAR,-0.027620934560344645,0.0002780653315067567,0.01022275915357485,0.5048707753479125,1.1515238367569707,0.0047766654100589445,1.6541231377991443,0.5048707753479125
GraphVAR-news-hard,-0.00456010532554485,0.0002718252706921736,0.010081573265567629,0.505480450629556,1.0929527594622508,0.008752109399348562,1.451248195679973,0.505480450629556
GraphVAR-news-soft,-0.0014266210133790924,0.0002709773769555533,0.010061725093567711,0.5035387673956262,0.8878851837616812,0.03354491727020825,1.332277269564266,0.5035387673956262
GraphVAR-sector-hard,-0.0027724708859324654,0.0002713415522836182,0.010075631630574114,0.5061232604373758,1.392927147149122,0.0007814771447560709,1.8790002218388127,0.5061232604373758
GraphVAR-sector-soft,-0.00019026455244808282,0.0002706428295970797,0.010058486682266835,0.5038634857521538,1.0504099952136865,0.011390578739244761,1.6256967855605036,0.5038634857521538
CorrGraphVAR-hard,-0.0028133506524528062,0.000271352613994651,0.010074871154417752,0.5071239231278992,1.734590170953238,3.582599576357204e-05,2.3158384226602937,0.5071239231278992
