model,oos_r2,mse,mae,dir_acc,ann_sharpe,sharpe_p,ppt_bps,hit_ratio
AR,-0.0003853965927711478,0.0003138243835174787,0.010811762537662788,0.5080753921798173,1.2902662830219576,2.743159388529648e-07,2.32784396415926,0.5080753921798173
VAR,-0.1476151237051022,0.00036001086175260874,0.01187235455099439,0.5048864434558651,1.06555162131498,1.2018372276045852e-05,2.071814715747922,0.5048864434558651
SparseVAR-LASSO,-0.0024081509135087664,0.00031445892859368116,0.010817235984335299,0.5066846171856708,0.9590593280960368,0.00011424779944291252,1.9903841668694582,0.5066846171856708
SparseVAR-EN,-0.0007228253461266654,0.00031393023609275973,0.010807988510365152,0.5060079606649497,0.6892034335766495,0.005427852551852075,1.5073911441008288,0.5060079606649497
Factor,-0.000976572295705136,0.0003140098373947101,0.010812248473005855,0.5053547178646687,0.5719228796007594,0.018747509322161182,1.4840479752036042,0.5053547178646687
NIRVAR,-0.018525480894860946,0.00031951499114974487,0.010947217339145547,0.5037063919456801,1.0409419258813075,1.537344505386784e-05,1.6164707363869135,0.5037063919456801
