model,oos_r2,mse,mae,dir_acc,ann_sharpe,sharpe_p,ppt_bps,hit_ratio
AR,0.2991217232085216,0.10455357553336808,0.2428160323087053,0.6820543406229291,22.0343158020609,0.0,1567.673991088682,0.6820543406229291
SparseVAR-LASSO,0.22390703821368385,0.1157737324553751,0.25876959592105886,0.6489463220675944,17.507542650388565,0.0,1357.4891112904868,0.6489463220675944
NIRVAR,0.28781193945214745,0.10624071347071629,0.24538566211900587,0.6749701789264414,20.343614018107036,0.0,1524.7883996582393,0.6749701789264414
GraphVAR-news-hard,0.29909093084199956,0.10455816898721824,0.24285059911170123,0.6814446653412857,21.76382156291592,0.0,1564.8593042875955,0.6814446653412857
GraphVAR-news-soft,0.22839399508717406,0.11510439028866533,0.2578865914103838,0.6503578528827038,17.60805169742426,0.0,1367.0858959436882,0.6503578528827038
GraphVAR-sector-hard,0.2995061732024904,0.104496225173378,0.24279084342892432,0.6813651424784626,21.814274674408807,0.0,1566.1947333673822,0.6813651424784626
GraphVAR-sector-soft,0.22841992672049627,0.11510052193509662,0.25788172045586716,0.6502650762094102,17.60751879907073,0.0,1366.7428357256656,0.6502650762094102
CorrGraphVAR-hard,0.2989178138642382,0.10458399372684826,0.24288884366793603,0.6817296222664015,21.706625049274486,0.0,1567.7301463237475,0.6817296222664015
