model,oos_r2,mse,mae,dir_acc,ann_sharpe,sharpe_p,ppt_bps,hit_ratio
AR,0.306077633605466,0.10650450786783101,0.2451055958966475,0.6889097103918228,22.08741906883538,0.0,1632.4660102139594,0.6889097103918228
SparseVAR-LASSO,0.2313480215932293,0.11797414904955374,0.260996235789512,0.6570925610448609,18.47168655997241,0.0,1419.8187288359848,0.6570925610448609
NIRVAR,0.29814971153002134,0.10772130023532142,0.24693797275268742,0.684290176036343,20.992256599501573,0.0,1604.30543032353,0.684290176036343
GraphVAR-news-hard,0.3059286227896252,0.1065273783276644,0.24515436464507584,0.6885775127768313,21.93510891177781,0.0,1630.6141829485687,0.6885775127768313
GraphVAR-news-soft,0.2355372442161746,0.11733117929470381,0.26016688193645926,0.6585178875638842,18.57752324579642,0.0,1429.5629572657983,0.6585178875638842
GraphVAR-sector-hard,0.3063089897326218,0.10646899889498589,0.2450981113764404,0.6886115843270869,22.000483200200666,0.0,1632.037425747332,0.6886115843270869
GraphVAR-sector-soft,0.23555508030213523,0.1173284417787373,0.2601637792873268,0.6584611016467916,18.57545621434122,0.0,1429.6097188438666,0.6584611016467916
CorrGraphVAR-hard,0.30615995203451685,0.10649187348075966,0.24511136914571155,0.6887847813742192,21.89417487279601,0.0,1632.1161255223615,0.6887847813742192
