l1_ratio,window_end,alpha,r2,dir_acc,nonzero_per_stock
1.0,2004-01-08,1e-06,-0.3967575542348506,0.4950870646766169,94.38
1.0,2004-01-08,3.162277660168379e-06,-0.3379038370543632,0.4948507462686567,83.15
1.0,2004-01-08,1e-05,-0.22169748414707602,0.49426616915422883,53.51
1.0,2004-01-08,3.1622776601683795e-05,-0.08974817895255882,0.4964676616915423,14.51
1.0,2004-01-08,0.0001,-0.01693133240425343,0.49942786069651746,1.37
1.0,2004-01-08,0.00031622776601683794,-0.0040290609526032195,0.49490049751243786,0.09
1.0,2004-01-08,0.001,-0.004622713578690735,0.49303482587064673,0.0
1.0,2004-01-08,0.0031622776601683794,-0.0046629313540620665,0.4930099502487562,0.0
1.0,2004-01-08,0.01,-0.0046629313540620665,0.4930099502487562,0.0
1.0,2007-06-05,1e-06,-0.3212488933904198,0.5043034825870647,82.74
1.0,2007-06-05,3.162277660168379e-06,-0.19741035633450038,0.5020522388059702,52.24
1.0,2007-06-05,1e-05,-0.0761273586946643,0.501679104477612,13.04
1.0,2007-06-05,3.1622776601683795e-05,-0.013630396095373282,0.5072636815920397,0.55
1.0,2007-06-05,0.0001,-0.00011111693565307723,0.5093905472636816,0.0
1.0,2007-06-05,0.00031622776601683794,0.0006183665993771403,0.5096517412935323,0.0
1.0,2007-06-05,0.001,0.0006183665993771403,0.5096517412935323,0.0
1.0,2007-06-05,0.0031622776601683794,0.0006183665993771403,0.5096517412935323,0.0
1.0,2007-06-05,0.01,0.0006183665993771403,0.5096517412935323,0.0
1.0,2010-10-22,1e-06,-0.3284544295444165,0.507686567164179,93.81
1.0,2010-10-22,3.162277660168379e-06,-0.20623706072047,0.5085323383084577,81.31
1.0,2010-10-22,1e-05,-0.08091712644955612,0.5116293532338309,51.03
1.0,2010-10-22,3.1622776601683795e-05,-0.016837491936082555,0.5130099502487563,16.21
1.0,2010-10-22,0.0001,-0.0017574757655823836,0.4998258706467662,2.19
1.0,2010-10-22,0.00031622776601683794,-0.00229206206389454,0.49625621890547267,0.09
1.0,2010-10-22,0.001,-0.0028306071724873982,0.4943034825870647,0.0
1.0,2010-10-22,0.0031622776601683794,-0.002882029387742957,0.4943034825870647,0.0
1.0,2010-10-22,0.01,-0.002882029387742957,0.4943034825870647,0.0
1.0,2014-03-19,1e-06,-0.3531888440403081,0.48756218905472637,82.65
1.0,2014-03-19,3.162277660168379e-06,-0.2053348774451642,0.4918283582089552,52.38
1.0,2014-03-19,1e-05,-0.0639850007484527,0.49864427860696514,13.96
1.0,2014-03-19,3.1622776601683795e-05,-0.006860032252078874,0.5082338308457712,1.07
1.0,2014-03-19,0.0001,-0.0002693367453318607,0.512686567164179,0.0
1.0,2014-03-19,0.00031622776601683794,-0.00044097036319440397,0.5113557213930349,0.0
1.0,2014-03-19,0.001,-0.00044097036319440397,0.5113557213930349,0.0
1.0,2014-03-19,0.0031622776601683794,-0.00044097036319440397,0.5113557213930349,0.0
1.0,2014-03-19,0.01,-0.00044097036319440397,0.5113557213930349,0.0
1.0,2017-08-08,1e-06,-0.28199860663292386,0.4924378109452736,79.74
1.0,2017-08-08,3.162277660168379e-06,-0.14977010683463898,0.493818407960199,46.46
1.0,2017-08-08,1e-05,-0.04265792826803516,0.4994900497512438,11.6
1.0,2017-08-08,3.1622776601683795e-05,-0.004976637590291821,0.5107213930348259,0.96
1.0,2017-08-08,0.0001,-0.001159740690405947,0.5121393034825871,0.02
1.0,2017-08-08,0.00031622776601683794,-0.001287839437478011,0.5120273631840796,0.0
1.0,2017-08-08,0.001,-0.001287839437478011,0.5120273631840796,0.0
1.0,2017-08-08,0.0031622776601683794,-0.001287839437478011,0.5120273631840796,0.0
1.0,2017-08-08,0.01,-0.001287839437478011,0.5120273631840796,0.0
1.0,2020-12-30,1e-06,-0.31467790564392006,0.4992164179104478,90.54
1.0,2020-12-30,3.162277660168379e-06,-0.16282451766764505,0.5008706467661692,72.2
1.0,2020-12-30,1e-05,-0.04467629272447962,0.507226368159204,38.16
1.0,2020-12-30,3.1622776601683795e-05,-0.007957273775493046,0.5119402985074626,11.62
1.0,2020-12-30,0.0001,-0.0021924851193202977,0.5126492537313433,0.73
1.0,2020-12-30,0.00031622776601683794,-0.001800761928335115,0.5128855721393035,0.0
1.0,2020-12-30,0.001,-0.001800761928335115,0.5128855721393035,0.0
1.0,2020-12-30,0.0031622776601683794,-0.001800761928335115,0.5128855721393035,0.0
1.0,2020-12-30,0.01,-0.001800761928335115,0.5128855721393035,0.0
0.5,2004-01-08,1e-06,-0.4099058733535818,0.49487562189054723,97.02
0.5,2004-01-08,3.162277660168379e-06,-0.371670370053311,0.49531094527363184,91.36
