model,oos_r2,mse,mae,dir_acc,ann_sharpe,sharpe_p,ppt_bps,hit_ratio
AR,-0.052846021816487454,0.0036326304834898896,0.0437579726508316,0.4981967213114754,-0.3888562429527904,0.8500074948288076,-2.122355451225781,0.4981967213114754
SparseVAR-LASSO,-1.9305603782240928,0.010111300933898624,0.07242324434014434,0.5062295081967213,2.245041596537065,0.2632660985130777,12.646805829590354,0.5062295081967213
NIRVAR,-0.8511075097747511,0.006386868952235915,0.05854835180816355,0.49721311475409835,0.4293031103713332,0.8353500656144681,2.0774251523373315,0.49721311475409835
GraphVAR-news-hard,-0.1202076483625707,0.0038650480383252877,0.04494904333253532,0.5029508196721312,0.5542362338938345,0.7863575111302041,2.8490357238430257,0.5029508196721312
GraphVAR-news-soft,-1.3467801236176853,0.008097086220066177,0.06373602567358777,0.5145901639344262,2.3717503908870747,0.24675599266546766,14.679641487380136,0.5145901639344262
GraphVAR-sector-hard,-0.08217035083629098,0.0037338081004423076,0.04454488612764056,0.49901639344262294,0.031160865657130478,0.9878699054944355,0.16554541314153326,0.49901639344262294
GraphVAR-sector-soft,-1.289868591135619,0.00790072458363259,0.06346652759657825,0.5121311475409837,2.977603593094094,0.14655595507993735,18.15548440685329,0.5121311475409837
CorrGraphVAR-hard,-0.09456488322284007,0.0037765729067321193,0.04478714444025676,0.5014754098360655,-0.761698031956481,0.7083208793431934,-3.7077220305119165,0.5014754098360655
