model,oos_r2,mse,mae,dir_acc,ann_sharpe,sharpe_p,ppt_bps,hit_ratio
AR,-0.000480165123483145,0.0004205007137517263,0.012160768126218352,0.5087199930613173,1.8819508852188136,1.0547562823148837e-11,2.819458364401737,0.5087199930613173
VAR,-2.439458961906949,0.0014456008213047746,0.02488245136092678,0.5024105376333529,0.8069770513626149,0.0026455294605431945,1.1739433622220519,0.5024105376333529
NIRVAR,-0.06152913100486268,0.00044615952701141396,0.012678552087928166,0.5058152379362656,2.4505834829530824,0.0,2.6659469940138223,0.5058152379362656
GraphVAR-news-hard,-0.0010529830631322845,0.0004207414685021641,0.012165022636457341,0.5087069012072326,1.9824891109362148,1.0531575611594235e-12,2.8804376672858365,0.5087069012072326
GraphVAR-sector-hard,-0.0009923213739777559,0.0004207159724608871,0.01216316029067286,0.5086979005575494,1.9210175297746397,4.557909605296118e-12,2.817636712365161,0.5086979005575494
CorrGraphVAR-hard,-0.000635519055137479,0.00042056600883844775,0.012163741811207465,0.5086586249952951,1.992581181892167,8.57980353430321e-13,2.8883402738036126,0.5086586249952951
